# Test done: 2024_10_30_09_19_04 - time taken: 349.83104181289673 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.898769000000000000e+06,1.000000000000000000e+07,9.898768999999999485e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.816506000000000000e+06,1.000000000000000000e+07,9.816506000000000398e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.109028000000000000e+06,1.000000000000000000e+07,9.109028000000000125e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.571223000000000000e+06,1.000000000000000000e+07,7.571223000000000258e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.094418000000000000e+06,1.000000000000000000e+07,4.094418000000000224e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.264889000000000000e+06,1.000000000000000000e+07,1.264888999999999875e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.858470000000000000e+05,1.000000000000000000e+07,2.858470000000000108e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.071200000000000000e+04,1.000000000000000000e+07,4.071199999999999646e-03
7.000000000000000000e+00,6.000000000000000000e+00,6.436000000000000000e+03,1.000000000000000000e+07,6.436000000000000314e-04
7.000000000000000000e+00,8.000000000000000000e+00,1.216000000000000000e+03,1.000000000000000000e+07,1.216000000000000013e-04
7.000000000000000000e+00,1.000000000000000000e+01,3.110000000000000000e+02,1.000000000000000000e+07,3.109999999999999700e-05
