# Test done: 2024_11_27_13_17_00 - time taken: 74.48380470275879 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.875533000000000000e+06,1.000000000000000000e+07,9.875532999999999673e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.818060000000000000e+06,1.000000000000000000e+07,9.818059999999999565e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.231097000000000000e+06,1.000000000000000000e+07,9.231097000000000330e-01
7.000000000000000000e+00,-4.000000000000000000e+00,6.924450000000000000e+06,1.000000000000000000e+07,6.924449999999999772e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.089486000000000000e+06,1.000000000000000000e+07,4.089485999999999954e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.560800000000000000e+06,1.000000000000000000e+07,1.560799999999999965e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.705570000000000000e+05,1.000000000000000000e+07,3.705569999999999697e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.995100000000000000e+04,1.000000000000000000e+07,6.995099999999999756e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.230900000000000000e+04,1.000000000000000000e+07,1.230900000000000050e-03
7.000000000000000000e+00,8.000000000000000000e+00,3.034000000000000000e+03,1.000000000000000000e+07,3.034000000000000022e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.032000000000000000e+03,1.000000000000000000e+07,1.032000000000000013e-04
