# Test done: 2024_10_01_23_25_46 - time taken: 4.232190132141113 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-9.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+03,8.000000000000000167e-03
7.000000000000000000e+00,-1.000000000000000000e+01,3.900000000000000000e+01,1.000000000000000000e+03,3.899999999999999994e-02
7.000000000000000000e+00,-1.100000000000000000e+01,1.070000000000000000e+02,1.000000000000000000e+03,1.069999999999999979e-01
7.000000000000000000e+00,-1.200000000000000000e+01,1.870000000000000000e+02,1.000000000000000000e+03,1.869999999999999996e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.220000000000000000e+02,1.000000000000000000e+03,3.220000000000000084e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.610000000000000000e+02,1.000000000000000000e+03,4.610000000000000209e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.940000000000000000e+02,1.000000000000000000e+03,5.939999999999999725e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.070000000000000000e+02,1.000000000000000000e+03,7.069999999999999618e-01
