# Test done: 2024_10_16_14_43_37 - time taken: 84.63503527641296 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,1.984407000000000000e+06,2.000000000000000000e+06,9.922035000000000160e-01
7.000000000000000000e+00,-8.000000000000000000e+00,1.984370000000000000e+06,2.000000000000000000e+06,9.921849999999999836e-01
7.000000000000000000e+00,-6.000000000000000000e+00,1.984259000000000000e+06,2.000000000000000000e+06,9.921294999999999975e-01
7.000000000000000000e+00,-4.000000000000000000e+00,1.983533000000000000e+06,2.000000000000000000e+06,9.917664999999999953e-01
7.000000000000000000e+00,-2.000000000000000000e+00,1.842851000000000000e+06,2.000000000000000000e+06,9.214255000000000084e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.923500000000000000e+05,2.000000000000000000e+06,4.961749999999999772e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.430300000000000000e+05,2.000000000000000000e+06,1.215149999999999980e-01
7.000000000000000000e+00,4.000000000000000000e+00,3.725500000000000000e+04,2.000000000000000000e+06,1.862750000000000170e-02
7.000000000000000000e+00,6.000000000000000000e+00,4.976000000000000000e+03,2.000000000000000000e+06,2.488000000000000194e-03
7.000000000000000000e+00,8.000000000000000000e+00,7.160000000000000000e+02,2.000000000000000000e+06,3.579999999999999741e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.430000000000000000e+02,2.000000000000000000e+06,7.150000000000000322e-05
