# Test done: 2024_10_17_10_51_39 - time taken: 8.379616260528564 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,1.961060000000000000e+05,2.000000000000000000e+05,9.805300000000000127e-01
7.000000000000000000e+00,-8.000000000000000000e+00,1.960000000000000000e+05,2.000000000000000000e+05,9.799999999999999822e-01
7.000000000000000000e+00,-6.000000000000000000e+00,1.906670000000000000e+05,2.000000000000000000e+05,9.533350000000000435e-01
7.000000000000000000e+00,-4.000000000000000000e+00,1.983840000000000000e+05,2.000000000000000000e+05,9.919200000000000239e-01
7.000000000000000000e+00,-2.000000000000000000e+00,1.095130000000000000e+05,2.000000000000000000e+05,5.475649999999999684e-01
7.000000000000000000e+00,0.000000000000000000e+00,3.501500000000000000e+04,2.000000000000000000e+05,1.750750000000000084e-01
7.000000000000000000e+00,2.000000000000000000e+00,1.920000000000000000e+02,2.000000000000000000e+05,9.600000000000000243e-04
7.000000000000000000e+00,4.000000000000000000e+00,1.400000000000000000e+01,2.000000000000000000e+05,6.999999999999999387e-05
7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+05,1.500000000000000038e-05
7.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+05,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+05,0.000000000000000000e+00
